month_start,year,month,borough,sales_count,median_sale_price
2024-04-01,2024,4,5,337,625000.0
2024-05-01,2024,5,1,1252,1267500.0
2024-05-01,2024,5,2,370,610000.0
2024-05-01,2024,5,3,1305,975000.0
2024-05-01,2024,5,4,1431,692500.0
2024-05-01,2024,5,5,693,325000.0
2024-06-01,2024,6,1,1284,1250000.0
2024-06-01,2024,6,2,491,800000.0
2024-06-01,2024,6,3,1158,994595.5
2024-06-01,2024,6,4,1302,680000.0
2024-06-01,2024,6,5,394,679000.0
2024-07-01,2024,7,1,1294,1282500.0
2024-07-01,2024,7,2,358,590000.0
2024-07-01,2024,7,3,1272,995000.0
2024-07-01,2024,7,4,1314,702000.0
2024-07-01,2024,7,5,452,653500.0
2024-08-01,2024,8,1,1182,1100000.0
2024-08-01,2024,8,2,320,592500.0
2024-08-01,2024,8,3,1169,980000.0
2024-08-01,2024,8,4,1334,695000.0
2024-08-01,2024,8,5,434,675000.0
2024-09-01,2024,9,1,1186,1335000.0
2024-09-01,2024,9,2,364,612500.0
2024-09-01,2024,9,3,1145,930000.0
2024-09-01,2024,9,4,1341,675000.0
2024-09-01,2024,9,5,444,671250.0
2024-10-01,2024,10,1,1186,1231250.0
2024-10-01,2024,10,2,349,620000.0
2024-10-01,2024,10,3,1135,950000.0
2024-10-01,2024,10,4,1566,700000.0
2024-10-01,2024,10,5,450,695000.0
2024-11-01,2024,11,1,1004,1232500.0
2024-11-01,2024,11,2,325,646000.0
2024-11-01,2024,11,3,993,975000.0
2024-11-01,2024,11,4,1411,716000.0
2024-11-01,2024,11,5,403,714000.0
2024-12-01,2024,12,1,1149,1230000.0
2024-12-01,2024,12,2,400,722500.0
2024-12-01,2024,12,3,1241,1050000.0
2024-12-01,2024,12,4,1379,700000.0
2024-12-01,2024,12,5,429,649000.0
2025-01-01,2025,1,1,1167,1257500.0
2025-01-01,2025,1,2,359,628300.0
2025-01-01,2025,1,3,1178,1062500.0
2025-01-01,2025,1,4,1407,677004.0
2025-01-01,2025,1,5,380,696803.0
2025-02-01,2025,2,1,1158,1417469.0
2025-02-01,2025,2,2,319,587000.0
2025-02-01,2025,2,3,1004,990000.0
2025-02-01,2025,2,4,1190,707500.0
2025-02-01,2025,2,5,326,699999.5
2025-03-01,2025,3,1,1168,1297500.0
2025-03-01,2025,3,2,463,750000.0
2025-03-01,2025,3,3,1199,1017232.0
2025-03-01,2025,3,4,1287,689000.0
2025-03-01,2025,3,5,376,650000.0
2025-04-01,2025,4,1,1176,1250000.0
2025-04-01,2025,4,2,322,600000.0
2025-04-01,2025,4,3,1124,999000.0
2025-04-01,2025,4,4,1369,699000.0
2025-04-01,2025,4,5,345,680000.0
2025-05-01,2025,5,1,1221,1300000.0
2025-05-01,2025,5,2,381,685000.0
2025-05-01,2025,5,3,1192,995000.0
2025-05-01,2025,5,4,1594,750000.0
2025-05-01,2025,5,5,363,695000.0
2025-06-01,2025,6,1,1418,1250000.0
2025-06-01,2025,6,2,352,635500.0
2025-06-01,2025,6,3,1272,990000.0
2025-06-01,2025,6,4,1331,700000.0
2025-06-01,2025,6,5,408,716000.0
2025-07-01,2025,7,1,1447,1298269.0
